"term","estimate","std.error","statistic","p.value"
"(Intercept)",1.02455247578839e+44,1361.07,0.074,0.941
"age.at.time.of.surgery",1.026,0.007,3.571,0
"genderMale",0.889,0.251,-0.471,0.638
"raceBlack or African American",0,546.169,-0.027,0.979
"raceNative Hawaiian or Other Pacific Islander",1.343,2460.918,0,1
"raceSome Other Race",0,546.171,-0.032,0.975
"raceUnknown/Not Reported",0,546.17,-0.025,0.98
"raceWhite",0,546.169,-0.028,0.978
"hispanic.ethnicityYes",0.543,0.471,-1.297,0.195
"cpt.code",0.998,0.009,-0.191,0.849
"in.out.patient.statusOutpatient",1111254.372,1024.393,0.014,0.989
"elective.surgeryYes",0.795,0.252,-0.911,0.362
"origin.statusFrom acute care hospital inpatient",1.874,0.781,0.803,0.422
"origin.statusHome/Permanent residence",0.772,0.695,-0.373,0.709
"origin.statusNot transferred (admitted from home)",1.384,0.686,0.473,0.636
"origin.statusNursing home - Chronic care - Intermediate care",0,2399.546,-0.007,0.995
"origin.statusOther facility",4373175.665,1645.452,0.009,0.993
"origin.statusOutside emergency department",0.546,0.851,-0.711,0.477
"origin.statusTransfer from other",0.173,1.803,-0.973,0.33
"height",1.026,0.012,2.263,0.024
"weight",0.99,0.002,-4.775,0
"bmi",1.062,0.019,3.206,0.001
"diabetes.mellitusNo",0.041,2.121,-1.51,0.131
"diabetes.mellitusNon-Insulin",0.06,2.302,-1.222,0.222
"current.smoker.within.1.yearYes",0.797,0.219,-1.038,0.299
"dyspneaNo",1.208,0.604,0.314,0.754
"functional.heath.statusPartially Dependent",0.179,1.451,-1.187,0.235
"functional.heath.statusTotally Dependent",0,2399.545,-0.007,0.994
"history.of.severe.copdYes",1.498,0.951,0.425,0.671
"hypertension.requiring.medicationYes",0.995,0.289,-0.018,0.985
"disseminated.cancerYes",0.97,1.366,-0.022,0.982
"open.wound.with.or.without.infectionYes",1.009,0.469,0.02,0.984
"steroid.immunosuppressant.use.for.chronic.conditionYes",0.624,0.594,-0.794,0.427
"bleeding.disorderYes",0.449,0.611,-1.311,0.19
"sepsis..sirs.sepsis.septic.shock...48h.Sepsis",1.501,0.476,0.855,0.393
"sepsis..sirs.sepsis.septic.shock...48h.SIRS",0.586,0.454,-1.178,0.239
"serum.sodium",1.016,0.038,0.432,0.665
"bun",0.999,0.017,-0.078,0.938
"serum.creatinine",0.675,0.439,-0.896,0.37
"albumin",1.12,0.199,0.57,0.569
"wbc",0.965,0.03,-1.211,0.226
"hematocrit",1.02,0.021,0.945,0.344
"platelet.count",0.999,0.001,-1.642,0.101
"emergency.caseYes",0.286,0.471,-2.661,0.008
"wound.classificationClean/Contaminated",4.787,1.404,1.116,0.265
"wound.classificationContaminated",2.143,1.405,0.542,0.587
"wound.classificationDirty/Infected",4.121,1.411,1.003,0.316
"asa.classificationASA 2 - Mild Disturb",1.564,0.855,0.523,0.601
"asa.classificationASA 3 - Severe Disturb",0.938,0.856,-0.075,0.94
"asa.classificationASA 4 - Life Threat",0.448,1.071,-0.751,0.453
"X..of.other.procedures",0.616,0.072,-6.693,0
"X..of.concurrent.procedures",1.314,0.122,2.241,0.025
"duration.of.surgical.procedure..in.minutes.",0.995,0.002,-2.799,0.005
"colectomy.steroid.immunosuppressant.for.inflammatory.bowelYes",1.392,0.614,0.539,0.59
"colectomy.mechanical.bowel.prepYes",1.866,0.216,2.884,0.004
"colectomy.oral.antibiotic.prepYes",1.317,0.24,1.146,0.252
"colectomy.chemotherapy.w.in.90.daysYes",4.208,1.746,0.823,0.41
"colectomy.operative.approachMIS, unplanned conversion to open",0.834,0.425,-0.428,0.668
"colectomy.operative.approachOpen",0.478,0.417,-1.77,0.077
"colectomy.number.of.nodes.evaluated",0.987,0.026,-0.505,0.614
"biologic.agent.60.days.prior.to.surgeryNo",1.793,0.634,0.921,0.357
"biologic.agent.60.days.prior.to.surgeryYes",1.848,0.624,0.983,0.326
"immune.modulation.60.days.prior.to.surgeryNo",0,1184.724,-0.013,0.99
"immune.modulation.60.days.prior.to.surgeryYes",0,1184.724,-0.013,0.99
"colonic.dysplasiaHigh Grade Dysplasia",34303.408,908.832,0.011,0.991
"colonic.dysplasiaLow grade Dysplasia",0.063,1.879,-1.468,0.142
"colonic.dysplasiaNo",600189.069,2399.545,0.006,0.996
"colonic.dysplasiaNo Dysplasia",0.171,1.631,-1.082,0.279
"colonic.dysplasiaNot applicable",0.243,1.828,-0.774,0.439
"colonic.dysplasiaUnable to determine",0.236,1.688,-0.855,0.393
