"term","estimate","std.error","statistic","p.value"
"(Intercept)",2.52053414969452e+206,329.585,1.442,0.149
"genderMale",1.052,0.157,0.323,0.747
"hispanic.ethnicityYes",1.309,0.263,1.023,0.306
"cpt.code",0.989,0.003,-3.928,0
"elective.surgeryYes",1.185,0.144,1.185,0.236
"height",0.996,0.007,-0.511,0.609
"weight",1.001,0.001,1.061,0.289
"current.smoker.within.1.yearYes",0.751,0.146,-1.965,0.049
"dyspneaNo",0.893,0.424,-0.265,0.791
"history.of.severe.copdYes",2.846,0.667,1.568,0.117
"steroid.immunosuppressant.use.for.chronic.conditionYes",2.147,0.343,2.225,0.026
"serum.sodium",0.926,0.024,-3.168,0.002
"serum.creatinine",1.632,0.292,1.678,0.093
"emergency.caseYes",1.761,0.409,1.383,0.167
"X..of.other.procedures",1.103,0.052,1.873,0.061
"colectomy.steroid.immunosuppressant.for.inflammatory.bowelYes",1.044,0.355,0.122,0.903
"colectomy.oral.antibiotic.prepYes",0.895,0.15,-0.744,0.457
"biologic.agent.60.days.prior.to.surgeryNo",0.38,0.531,-1.822,0.069
"biologic.agent.60.days.prior.to.surgeryYes",0.394,0.527,-1.77,0.077
"immune.modulation.60.days.prior.to.surgeryNo",1167061.956,306.367,0.046,0.964
"immune.modulation.60.days.prior.to.surgeryYes",845767.688,306.367,0.045,0.964
"ileostomy.formationNone",0.614,0.165,-2.963,0.003
