Odds Ratio (95% CI)	p-value
(Intercept)	2.52126807677328e+206 (0,Inf)	0.1493
genderMale	1.05 (0.77,1.43)	0.7469
hispanic.ethnicityYes	1.31 (0.78,2.19)	0.3063
cpt.code	0.99 (0.98,0.99)	1e-04
elective.surgeryYes	1.19 (0.89,1.57)	0.2359
height	1 (0.98,1.01)	0.6092
weight	1 (1,1)	0.2886
current.smoker.within.1.yearYes	0.75 (0.56,1)	0.0495
dyspneaNo	0.89 (0.39,2.05)	0.7907
history.of.severe.copdYes	2.85 (0.77,10.53)	0.1169
steroid.immunosuppressant.use.for.chronic.conditionYes	2.15 (1.1,4.21)	0.0261
serum.sodium	0.93 (0.88,0.97)	0.0015
serum.creatinine	1.63 (0.92,2.9)	0.0934
emergency.caseYes	1.76 (0.79,3.92)	0.1665
X..of.other.procedures	1.1 (1,1.22)	0.061
colectomy.steroid.immunosuppressant.for.inflammatory.bowelYes	1.04 (0.52,2.09)	0.9032
colectomy.oral.antibiotic.prepYes	0.89 (0.67,1.2)	0.4568
biologic.agent.60.days.prior.to.surgeryNo	0.38 (0.13,1.08)	0.0685
biologic.agent.60.days.prior.to.surgeryYes	0.39 (0.14,1.11)	0.0768
immune.modulation.60.days.prior.to.surgeryNo	1166760.1 (0,7.03339692471273e+266)	0.9636
immune.modulation.60.days.prior.to.surgeryYes	845354.55 (0,5.09610372258452e+266)	0.9645
ileostomy.formationNone	0.61 (0.44,0.85)	0.003
