"term","estimate","std.error","statistic","p.value"
"(Intercept)",9.76609599249781e+142,322.654,1.02,0.308
"genderMale",0.628,0.172,-2.711,0.007
"hispanic.ethnicityYes",1.595,0.27,1.731,0.083
"cpt.code",0.992,0.003,-2.613,0.009
"elective.surgeryYes",1.59,0.162,2.866,0.004
"height",1.02,0.008,2.433,0.015
"weight",1.002,0.001,1.654,0.098
"current.smoker.within.1.yearYes",0.717,0.168,-1.976,0.048
"dyspneaNo",1.895,0.456,1.401,0.161
"history.of.severe.copdYes",4.003,0.566,2.45,0.014
"steroid.immunosuppressant.use.for.chronic.conditionYes",2.768,0.417,2.442,0.015
"serum.sodium",0.937,0.026,-2.496,0.013
"serum.creatinine",1.687,0.291,1.798,0.072
"emergency.caseYes",5.165,0.399,4.114,0
"X..of.other.procedures",1.094,0.053,1.703,0.088
"colectomy.steroid.immunosuppressant.for.inflammatory.bowelYes",2.983,0.436,2.507,0.012
"colectomy.oral.antibiotic.prepYes",0.698,0.16,-2.241,0.025
"biologic.agent.60.days.prior.to.surgeryNo",0.808,0.465,-0.459,0.646
"biologic.agent.60.days.prior.to.surgeryYes",0.514,0.459,-1.448,0.148
"immune.modulation.60.days.prior.to.surgeryNo",166208.782,295.54,0.041,0.968
"immune.modulation.60.days.prior.to.surgeryYes",117477.253,295.54,0.039,0.968
"ileostomy.formationNone",0.944,0.167,-0.348,0.728
