Odds Ratio (95% CI)	p-value
(Intercept)	9.76597068078642e+142 (0,Inf)	0.3075
genderMale	0.63 (0.45,0.88)	0.0067
hispanic.ethnicityYes	1.6 (0.94,2.71)	0.0834
cpt.code	0.99 (0.99,1)	0.009
elective.surgeryYes	1.59 (1.16,2.18)	0.0042
height	1.02 (1,1.04)	0.015
weight	1 (1,1)	0.0981
current.smoker.within.1.yearYes	0.72 (0.52,1)	0.0482
dyspneaNo	1.89 (0.77,4.63)	0.1613
history.of.severe.copdYes	4 (1.32,12.15)	0.0143
steroid.immunosuppressant.use.for.chronic.conditionYes	2.77 (1.22,6.27)	0.0146
serum.sodium	0.94 (0.89,0.99)	0.0126
serum.creatinine	1.69 (0.95,2.99)	0.0722
emergency.caseYes	5.16 (2.36,11.29)	0
X..of.other.procedures	1.09 (0.99,1.21)	0.0885
colectomy.steroid.immunosuppressant.for.inflammatory.bowelYes	2.98 (1.27,7.01)	0.0122
colectomy.oral.antibiotic.prepYes	0.7 (0.51,0.96)	0.025
biologic.agent.60.days.prior.to.surgeryNo	0.81 (0.33,2.01)	0.6465
biologic.agent.60.days.prior.to.surgeryYes	0.51 (0.21,1.26)	0.1475
immune.modulation.60.days.prior.to.surgeryNo	166273.14 (0,6.09647184928121e+256)	0.9676
immune.modulation.60.days.prior.to.surgeryYes	117453.03 (0,4.30664644058021e+256)	0.9685
ileostomy.formationNone	0.94 (0.68,1.31)	0.7276
