Odds Ratio (95% CI)	p-value
(Intercept)	4.49948895811834e+109 (0,1.38932656448294e+222)	0.0561
genderMale	0.73 (0.51,1.04)	0.0792
cpt.code	0.99 (0.99,1)	0.0599
elective.surgeryYes	1.92 (1.35,2.71)	3e-04
height	1.02 (1,1.03)	0.0478
weight	1 (1,1)	0.0432
dyspneaNo	2.01 (0.8,5.07)	0.14
history.of.severe.copdYes	3.84 (1.18,12.43)	0.025
steroid.immunosuppressant.use.for.chronic.conditionYes	3.18 (1.35,7.46)	0.0079
serum.sodium	0.94 (0.89,0.99)	0.0137
serum.creatinine	1.59 (0.89,2.85)	0.1148
hematocrit	0.98 (0.95,1)	0.096
emergency.caseYes	5.24 (2.28,12.07)	1e-04
X..of.other.procedures	1.12 (1.01,1.24)	0.0364
colectomy.steroid.immunosuppressant.for.inflammatory.bowelYes	2.93 (1.19,7.18)	0.019
colectomy.oral.antibiotic.prepYes	0.69 (0.5,0.96)	0.0277
biologic.agent.60.days.prior.to.surgeryYes	0.68 (0.51,0.89)	0.0052
immune.modulation.60.days.prior.to.surgeryYes	0.71 (0.52,0.98)	0.0357
