"term","estimate","std.error","statistic","p.value"
"(Intercept)",4.88678903903826e+264,2597.336,0.235,0.814
"cpt.code",0.987,0.003,-4.185,0
"elective.surgeryYes",1.49,0.175,2.285,0.022
"origin.statusFrom acute care hospital inpatient",0,2593.622,-0.008,0.994
"origin.statusHome/Permanent residence",5630.762,2696.123,0.003,0.997
"origin.statusNot transferred (admitted from home)",0,2593.622,-0.008,0.994
"origin.statusNursing home - Chronic care - Intermediate care",0,12063.041,-0.002,0.999
"origin.statusOther facility",2.659,7985.287,0,1
"origin.statusOutside emergency department",0,2593.623,-0.007,0.994
"origin.statusTransfer from other",0,2593.623,-0.007,0.994
"functional.heath.statusPartially Dependent",481299357.815,4810.539,0.004,0.997
"functional.heath.statusTotally Dependent",585513618.302,10754.013,0.002,0.999
"open.wound.with.or.without.infectionYes",0.512,0.392,-1.709,0.087
"steroid.immunosuppressant.use.for.chronic.conditionYes",2.68,0.156,6.307,0
"serum.sodium",0.924,0.029,-2.779,0.005
"serum.creatinine",1.684,0.293,1.782,0.075
"emergency.caseYes",3.626,0.441,2.918,0.004
"X..of.concurrent.procedures",1.184,0.115,1.474,0.141
"duration.of.surgical.procedure..in.minutes.",1.004,0.001,3.182,0.001
"colectomy.chemotherapy.w.in.90.daysYes",0,520.629,-0.027,0.978
"ileostomy.formationNone",0.687,0.185,-2.035,0.042
