"term","estimate","std.error","statistic","p.value"
"(Intercept)",4.5006636498593e+109,132.154,1.911,0.056
"genderMale",0.729,0.18,-1.755,0.079
"cpt.code",0.994,0.003,-1.882,0.06
"elective.surgeryYes",1.916,0.178,3.653,0
"height",1.017,0.009,1.979,0.048
"weight",1.003,0.001,2.022,0.043
"dyspneaNo",2.008,0.472,1.476,0.14
"history.of.severe.copdYes",3.834,0.6,2.241,0.025
"steroid.immunosuppressant.use.for.chronic.conditionYes",3.177,0.435,2.655,0.008
"serum.sodium",0.935,0.027,-2.465,0.014
"serum.creatinine",1.594,0.296,1.577,0.115
"hematocrit",0.977,0.014,-1.664,0.096
"emergency.caseYes",5.244,0.425,3.897,0
"X..of.other.procedures",1.117,0.053,2.092,0.036
"colectomy.steroid.immunosuppressant.for.inflammatory.bowelYes",2.927,0.458,2.347,0.019
"colectomy.oral.antibiotic.prepYes",0.691,0.168,-2.202,0.028
"biologic.agent.60.days.prior.to.surgeryYes",0.676,0.14,-2.793,0.005
"immune.modulation.60.days.prior.to.surgeryYes",0.714,0.16,-2.1,0.036
